Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
166,1768.313,37,0.0774,0.1408,0.0706,0.0654,0.0525,0.0605
167,1779.016,36.9,0.0777,0.1407,0.0713,0.0655,0.0525,0.0605
168,1789.735,37,0.0775,0.1408,0.0718,0.0655,0.0526,0.0605
169,1800.448,37,0.0775,0.1398,0.072,0.0654,0.0525,0.0605
170,1811.162,37,0.0784,0.1397,0.0728,0.0655,0.0527,0.0611
171,1821.874,37,0.0777,0.1401,0.0728,0.0657,0.0526,0.0605
172,1832.59,36.9,0.0775,0.1393,0.0736,0.0655,0.0525,0.0607
173,1843.308,37,0.0776,0.1385,0.074,0.0655,0.0527,0.0606
174,1854.035,37,0.0796,0.1384,0.0743,0.0655,0.0525,0.0604
175,1864.747,36.8,0.0808,0.1382,0.0749,0.0657,0.0526,0.0607
176,1875.455,37,0.0771,0.1385,0.0758,0.0656,0.0528,0.0607
177,1886.164,37.1,0.0781,0.1368,0.0765,0.0655,0.0526,0.0607
178,1896.883,36.8,0.0766,0.1381,0.0768,0.0658,0.0526,0.0605
179,1907.601,37,0.0784,0.1381,0.0776,0.0656,0.0526,0.0605
180,1918.313,37,0.0768,0.1374,0.0782,0.0657,0.0525,0.0605
181,1929.027,36.9,0.076,0.1362,0.0786,0.0658,0.0526,0.0605
182,1939.762,37,0.0777,0.1364,0.0793,0.0658,0.0526,0.0606
183,1950.517,37,0.0769,0.1383,0.08,0.0657,0.0526,0.0605
184,1961.246,36.9,0.0767,0.1365,0.0805,0.0658,0.0525,0.0606
185,1971.982,37,0.078,0.1375,0.0811,0.0656,0.0525,0.0605
186,1982.73,37,0.0768,0.137,0.082,0.066,0.0527,0.0607
187,1993.467,36.9,0.0772,0.1352,0.0826,0.0657,0.0525,0.0604
188,2004.193,37,0.0775,0.1356,0.0833,0.0678,0.0527,0.0606
189,2014.908,37.1,0.0779,0.1362,0.0839,0.0657,0.0527,0.0606
190,2025.608,37,0.0761,0.1346,0.0845,0.066,0.0526,0.0606
191,2036.312,37,0.0774,0.1355,0.0855,0.0658,0.0526,0.0606
192,2047.026,37,0.0768,0.1369,0.0863,0.0657,0.0526,0.0607
193,2057.742,37,0.0769,0.1345,0.0872,0.0661,0.0525,0.0605
194,2068.464,37,0.0774,0.1352,0.0881,0.0661,0.0548,0.0606
195,2079.193,37,0.0783,0.1353,0.0889,0.066,0.0526,0.0606
196,2089.928,37,0.076,0.134,0.0892,0.0659,0.0534,0.0605
197,2100.663,37,0.0774,0.1344,0.0903,0.0659,0.0527,0.0605
198,2111.387,36.9,0.0771,0.1364,0.0914,0.0657,0.0524,0.0605
199,2122.112,37,0.0814,0.1347,0.0919,0.0659,0.0526,0.0605
200,2132.836,36.9,0.076,0.1342,0.093,0.066,0.0525,0.0605
201,2143.571,36.9,0.0767,0.1332,0.0936,0.066,0.0526,0.0605
202,2154.279,36.9,0.0768,0.1333,0.0947,0.067,0.0525,0.0605
203,2164.995,36.9,0.077,0.1353,0.096,0.0661,0.0527,0.0607
204,2175.701,36.8,0.0758,0.1346,0.0966,0.0661,0.0527,0.0605
205,2186.422,37,0.0773,0.1336,0.0985,0.0667,0.0527,0.0605
206,2197.147,36.9,0.0749,0.1345,0.0986,0.0667,0.0527,0.0605
207,2207.861,36.8,0.0778,0.1358,0.0993,0.066,0.0527,0.0605
208,2218.591,37,0.0748,0.133,0.1004,0.0663,0.0526,0.0606
209,2229.314,37,0.0744,0.1366,0.1012,0.066,0.0528,0.0607
